Regione,Cod_ATECO,Descrizione,Livello,Sezione,Nome_sezione,Rischio,Imprese_con_dipendenti,Addetti,Anno
Friuli-Venezia Giulia,TOTALE,Totale economia (imprese con dipendenti),TOTALE,,,,27973,317950,2024
Friuli-Venezia Giulia,08,Altre attività di estrazione di minerali da cave e miniere,DIVISIONE,B,Estrazione di minerali,alto,22,346,2024
Friuli-Venezia Giulia,10,Industrie alimentari,DIVISIONE,C,Attività manifatturiere,alto,485,7603,2024
Friuli-Venezia Giulia,11,Industria delle bevande,DIVISIONE,C,Attività manifatturiere,alto,61,861,2024
Friuli-Venezia Giulia,12,Industria del tabacco,DIVISIONE,C,Attività manifatturiere,alto,1,162,2024
Friuli-Venezia Giulia,13,Industrie tessili,DIVISIONE,C,Attività manifatturiere,alto,65,753,2024
Friuli-Venezia Giulia,14,"Confezione di articoli di abbigliamento, confezione di articoli in pelle e pelliccia",DIVISIONE,C,Attività manifatturiere,alto,53,342,2024
Friuli-Venezia Giulia,15,Fabbricazione di articoli in pelle e simili,DIVISIONE,C,Attività manifatturiere,alto,29,476,2024
Friuli-Venezia Giulia,16,"Industria del legno e dei prodotti in legno e sughero (esclusi i mobili), fabbricazione di articoli in paglia e materiali da intreccio",DIVISIONE,C,Attività manifatturiere,alto,321,4114,2024
Friuli-Venezia Giulia,17,Fabbricazione di carta e di prodotti di carta,DIVISIONE,C,Attività manifatturiere,alto,33,1476,2024
Friuli-Venezia Giulia,18,Stampa e riproduzione di supporti registrati,DIVISIONE,C,Attività manifatturiere,alto,111,1151,2024
Friuli-Venezia Giulia,19,Fabbricazione di coke e prodotti derivanti dalla raffinazione del petrolio,DIVISIONE,C,Attività manifatturiere,alto,1,4,2024
Friuli-Venezia Giulia,20,Fabbricazione di prodotti chimici,DIVISIONE,C,Attività manifatturiere,alto,40,998,2024
Friuli-Venezia Giulia,21,Fabbricazione di prodotti farmaceutici di base e di preparati farmaceutici,DIVISIONE,C,Attività manifatturiere,alto,4,252,2024
Friuli-Venezia Giulia,22,Fabbricazione di articoli in gomma e materie plastiche,DIVISIONE,C,Attività manifatturiere,alto,117,4418,2024
Friuli-Venezia Giulia,23,Fabbricazione di altri prodotti della lavorazione di minerali non metalliferi,DIVISIONE,C,Attività manifatturiere,alto,182,2825,2024
Friuli-Venezia Giulia,24,Metallurgia,DIVISIONE,C,Attività manifatturiere,alto,50,5657,2024
Friuli-Venezia Giulia,25,Fabbricazione di prodotti in metallo (esclusi macchinari e attrezzature),DIVISIONE,C,Attività manifatturiere,alto,1004,19203,2024
Friuli-Venezia Giulia,26,"Fabbricazione di computer e prodotti di elettronica e ottica, apparecchi elettromedicali, apparecchi di misurazione e di orologi",DIVISIONE,C,Attività manifatturiere,alto,84,3551,2024
Friuli-Venezia Giulia,27,Fabbricazione di apparecchiature elettriche ed apparecchiature per uso domestico non elettriche,DIVISIONE,C,Attività manifatturiere,alto,94,6333,2024
Friuli-Venezia Giulia,28,Fabbricazione di macchinari ed apparecchiature nca,DIVISIONE,C,Attività manifatturiere,alto,357,16997,2024
Friuli-Venezia Giulia,29,"Fabbricazione di autoveicoli, rimorchi e semirimorchi",DIVISIONE,C,Attività manifatturiere,alto,18,1380,2024
Friuli-Venezia Giulia,30,Fabbricazione di altri mezzi di trasporto,DIVISIONE,C,Attività manifatturiere,alto,91,11945,2024
Friuli-Venezia Giulia,31,Fabbricazione di mobili,DIVISIONE,C,Attività manifatturiere,alto,547,12585,2024
Friuli-Venezia Giulia,32,Altre industrie manifatturiere,DIVISIONE,C,Attività manifatturiere,alto,157,2206,2024
Friuli-Venezia Giulia,33,"Riparazione, manutenzione ed installazione di macchine ed apparecchiature",DIVISIONE,C,Attività manifatturiere,alto,330,3494,2024
Friuli-Venezia Giulia,35,"Fornitura di energia elettrica, gas, vapore e aria condizionata",DIVISIONE,D,"Energia elettrica, gas, vapore",alto,56,710,2024
Friuli-Venezia Giulia,36,"Raccolta, trattamento e fornitura di acqua",DIVISIONE,E,"Acqua, reti fognarie, rifiuti",alto,6,1683,2024
Friuli-Venezia Giulia,37,Gestione delle reti fognarie,DIVISIONE,E,"Acqua, reti fognarie, rifiuti",alto,19,147,2024
Friuli-Venezia Giulia,38,"Attività di raccolta, trattamento e smaltimento dei rifiuti recupero dei materiali",DIVISIONE,E,"Acqua, reti fognarie, rifiuti",alto,94,3052,2024
Friuli-Venezia Giulia,39,Attività di risanamento e altri servizi di gestione dei rifiuti,DIVISIONE,E,"Acqua, reti fognarie, rifiuti",alto,11,132,2024
Friuli-Venezia Giulia,41,Costruzione di edifici,DIVISIONE,F,Costruzioni,alto,858,5831,2024
Friuli-Venezia Giulia,42,Ingegneria civile,DIVISIONE,F,Costruzioni,alto,98,1674,2024
Friuli-Venezia Giulia,43,Lavori di costruzione specializzati,DIVISIONE,F,Costruzioni,alto,2326,15634,2024
Friuli-Venezia Giulia,45,Commercio all'ingrosso e al dettaglio e riparazione di autoveicoli e motocicli,DIVISIONE,G,Commercio e riparazione autoveicoli,basso,913,5805,2024
Friuli-Venezia Giulia,46,Commercio all'ingrosso (escluso quello di autoveicoli e di motocicli),DIVISIONE,G,Commercio e riparazione autoveicoli,basso,1445,13052,2024
Friuli-Venezia Giulia,47,Commercio al dettaglio (escluso quello di autoveicoli e di motocicli),DIVISIONE,G,Commercio e riparazione autoveicoli,basso,3161,22531,2024
Friuli-Venezia Giulia,49,Trasporto terrestre e trasporto mediante condotte,DIVISIONE,H,Trasporto e magazzinaggio,medio,522,8636,2024
Friuli-Venezia Giulia,50,Trasporto marittimo e per vie d'acqua,DIVISIONE,H,Trasporto e magazzinaggio,medio,13,449,2024
Friuli-Venezia Giulia,51,Trasporto aereo,DIVISIONE,H,Trasporto e magazzinaggio,medio,1,101,2024
Friuli-Venezia Giulia,52,Magazzinaggio e attività di supporto ai trasporti,DIVISIONE,H,Trasporto e magazzinaggio,medio,274,7510,2024
Friuli-Venezia Giulia,53,Servizi postali e attività di corriere,DIVISIONE,H,Trasporto e magazzinaggio,medio,9,328,2024
Friuli-Venezia Giulia,55,Alloggio,DIVISIONE,I,Alloggio e ristorazione,basso,650,5274,2024
Friuli-Venezia Giulia,56,Attività dei servizi di ristorazione,DIVISIONE,I,Alloggio e ristorazione,basso,4489,29900,2024
Friuli-Venezia Giulia,58,Attività editoriali,DIVISIONE,J,Informazione e comunicazione,basso,42,309,2024
Friuli-Venezia Giulia,59,"Attività di produzione cinematografica, di video e di programmi televisivi, di registrazioni musicali e sonore",DIVISIONE,J,Informazione e comunicazione,basso,39,281,2024
Friuli-Venezia Giulia,60,Attività di programmazione e trasmissione,DIVISIONE,J,Informazione e comunicazione,basso,13,68,2024
Friuli-Venezia Giulia,61,Telecomunicazioni,DIVISIONE,J,Informazione e comunicazione,basso,17,94,2024
Friuli-Venezia Giulia,62,"Produzione di software, consulenza informatica e attività connesse",DIVISIONE,J,Informazione e comunicazione,basso,325,4799,2024
Friuli-Venezia Giulia,63,Attività dei servizi d'informazione e altri servizi informatici,DIVISIONE,J,Informazione e comunicazione,basso,387,1763,2024
Friuli-Venezia Giulia,64,Attività di servizi finanziari (escluse le assicurazioni e i fondi pensione),DIVISIONE,K,Attività finanziarie e assicurative,basso,58,3646,2024
Friuli-Venezia Giulia,65,"Assicurazioni, riassicurazioni e fondi pensione (escluse le assicurazioni sociali obbligatorie)",DIVISIONE,K,Attività finanziarie e assicurative,basso,4,2144,2024
Friuli-Venezia Giulia,66,Attività ausiliarie dei servizi finanziari e delle attività assicurative,DIVISIONE,K,Attività finanziarie e assicurative,basso,350,2063,2024
Friuli-Venezia Giulia,68,Attività immobiliari,DIVISIONE,L,Attività immobiliari,basso,595,1824,2024
Friuli-Venezia Giulia,69,Attività legali e contabilità,DIVISIONE,M,"Attività professionali, scientifiche e tecniche",basso,1170,5565,2024
Friuli-Venezia Giulia,70,Attività di direzione aziendale e di consulenza gestionale,DIVISIONE,M,"Attività professionali, scientifiche e tecniche",basso,277,1805,2024
Friuli-Venezia Giulia,71,"Attività degli studi di architettura e d'ingegneria, collaudi ed analisi tecniche",DIVISIONE,M,"Attività professionali, scientifiche e tecniche",basso,405,2281,2024
Friuli-Venezia Giulia,72,Ricerca scientifica e sviluppo,DIVISIONE,M,"Attività professionali, scientifiche e tecniche",basso,54,361,2024
Friuli-Venezia Giulia,73,Pubblicità e ricerche di mercato,DIVISIONE,M,"Attività professionali, scientifiche e tecniche",basso,85,438,2024
Friuli-Venezia Giulia,74,"Altre attività professionali, scientifiche e tecniche",DIVISIONE,M,"Attività professionali, scientifiche e tecniche",basso,345,1862,2024
Friuli-Venezia Giulia,75,Servizi veterinari,DIVISIONE,M,"Attività professionali, scientifiche e tecniche",basso,33,109,2024
Friuli-Venezia Giulia,77,Attività di noleggio e leasing operativo,DIVISIONE,N,Noleggio e servizi alle imprese,basso,109,961,2024
Friuli-Venezia Giulia,78,"Attività di ricerca, selezione, fornitura di personale",DIVISIONE,N,Noleggio e servizi alle imprese,basso,10,1612,2024
Friuli-Venezia Giulia,79,"Attività dei servizi delle agenzie di viaggio, dei tour operator e servizi di prenotazione e attività connesse",DIVISIONE,N,Noleggio e servizi alle imprese,basso,92,443,2024
Friuli-Venezia Giulia,80,Servizi di vigilanza e investigazione,DIVISIONE,N,Noleggio e servizi alle imprese,basso,20,713,2024
Friuli-Venezia Giulia,81,Attività di servizi per edifici e paesaggio,DIVISIONE,N,Noleggio e servizi alle imprese,basso,474,20633,2024
Friuli-Venezia Giulia,82,Attività di supporto per le funzioni d'ufficio e altri servizi di supporto alle imprese,DIVISIONE,N,Noleggio e servizi alle imprese,basso,284,2818,2024
Friuli-Venezia Giulia,85,Istruzione,DIVISIONE,P,Istruzione,medio,171,1789,2024
Friuli-Venezia Giulia,86,Assistenza sanitaria,DIVISIONE,Q,Sanità e assistenza sociale,alto,1284,5359,2024
Friuli-Venezia Giulia,87,Servizi di assistenza sociale residenziale,DIVISIONE,Q,Sanità e assistenza sociale,alto,75,7793,2024
Friuli-Venezia Giulia,88,Assistenza sociale non residenziale,DIVISIONE,Q,Sanità e assistenza sociale,alto,117,5967,2024
Friuli-Venezia Giulia,90,"Attività creative, artistiche e di intrattenimento",DIVISIONE,R,Attività artistiche e sportive,basso,39,392,2024
Friuli-Venezia Giulia,91,"Attività di biblioteche, archivi, musei ed altre attività culturali",DIVISIONE,R,Attività artistiche e sportive,basso,16,463,2024
Friuli-Venezia Giulia,92,"Attività riguardanti le lotterie, le scommesse, le case da gioco",DIVISIONE,R,Attività artistiche e sportive,basso,52,204,2024
Friuli-Venezia Giulia,93,"Attività sportive, di intrattenimento e di divertimento",DIVISIONE,R,Attività artistiche e sportive,basso,221,1798,2024
Friuli-Venezia Giulia,95,Riparazione di computer e di beni per uso personale e per la casa,DIVISIONE,S,Altre attività di servizi,basso,153,802,2024
Friuli-Venezia Giulia,96,Altre attività di servizi per la persona,DIVISIONE,S,Altre attività di servizi,basso,1455,5211,2024
Veneto,TOTALE,Totale economia (imprese con dipendenti),TOTALE,,,,136036,1530483,2024
Veneto,08,Altre attività di estrazione di minerali da cave e miniere,DIVISIONE,B,Estrazione di minerali,alto,99,962,2024
Veneto,09,Attività dei servizi di supporto all'estrazione,DIVISIONE,B,Estrazione di minerali,alto,1,6,2024
Veneto,10,Industrie alimentari,DIVISIONE,C,Attività manifatturiere,alto,2197,43406,2024
Veneto,11,Industria delle bevande,DIVISIONE,C,Attività manifatturiere,alto,253,7393,2024
Veneto,12,Industria del tabacco,DIVISIONE,C,Attività manifatturiere,alto,2,60,2024
Veneto,13,Industrie tessili,DIVISIONE,C,Attività manifatturiere,alto,672,11255,2024
Veneto,14,"Confezione di articoli di abbigliamento, confezione di articoli in pelle e pelliccia",DIVISIONE,C,Attività manifatturiere,alto,2045,25249,2024
Veneto,15,Fabbricazione di articoli in pelle e simili,DIVISIONE,C,Attività manifatturiere,alto,1203,27316,2024
Veneto,16,"Industria del legno e dei prodotti in legno e sughero (esclusi i mobili), fabbricazione di articoli in paglia e materiali da intreccio",DIVISIONE,C,Attività manifatturiere,alto,1167,10926,2024
Veneto,17,Fabbricazione di carta e di prodotti di carta,DIVISIONE,C,Attività manifatturiere,alto,330,14366,2024
Veneto,18,Stampa e riproduzione di supporti registrati,DIVISIONE,C,Attività manifatturiere,alto,721,10111,2024
Veneto,19,Fabbricazione di coke e prodotti derivanti dalla raffinazione del petrolio,DIVISIONE,C,Attività manifatturiere,alto,14,271,2024
Veneto,20,Fabbricazione di prodotti chimici,DIVISIONE,C,Attività manifatturiere,alto,366,10599,2024
Veneto,21,Fabbricazione di prodotti farmaceutici di base e di preparati farmaceutici,DIVISIONE,C,Attività manifatturiere,alto,25,5218,2024
Veneto,22,Fabbricazione di articoli in gomma e materie plastiche,DIVISIONE,C,Attività manifatturiere,alto,989,26974,2024
Veneto,23,Fabbricazione di altri prodotti della lavorazione di minerali non metalliferi,DIVISIONE,C,Attività manifatturiere,alto,1164,24648,2024
Veneto,24,Metallurgia,DIVISIONE,C,Attività manifatturiere,alto,251,13734,2024
Veneto,25,Fabbricazione di prodotti in metallo (esclusi macchinari e attrezzature),DIVISIONE,C,Attività manifatturiere,alto,5971,91275,2024
Veneto,26,"Fabbricazione di computer e prodotti di elettronica e ottica, apparecchi elettromedicali, apparecchi di misurazione e di orologi",DIVISIONE,C,Attività manifatturiere,alto,371,10477,2024
Veneto,27,Fabbricazione di apparecchiature elettriche ed apparecchiature per uso domestico non elettriche,DIVISIONE,C,Attività manifatturiere,alto,952,29436,2024
Veneto,28,Fabbricazione di macchinari ed apparecchiature nca,DIVISIONE,C,Attività manifatturiere,alto,2359,83651,2024
Veneto,29,"Fabbricazione di autoveicoli, rimorchi e semirimorchi",DIVISIONE,C,Attività manifatturiere,alto,233,6296,2024
Veneto,30,Fabbricazione di altri mezzi di trasporto,DIVISIONE,C,Attività manifatturiere,alto,178,4256,2024
Veneto,31,Fabbricazione di mobili,DIVISIONE,C,Attività manifatturiere,alto,1622,27985,2024
Veneto,32,Altre industrie manifatturiere,DIVISIONE,C,Attività manifatturiere,alto,1334,30949,2024
Veneto,33,"Riparazione, manutenzione ed installazione di macchine ed apparecchiature",DIVISIONE,C,Attività manifatturiere,alto,1503,15178,2024
Veneto,35,"Fornitura di energia elettrica, gas, vapore e aria condizionata",DIVISIONE,D,"Energia elettrica, gas, vapore",alto,196,2039,2024
Veneto,36,"Raccolta, trattamento e fornitura di acqua",DIVISIONE,E,"Acqua, reti fognarie, rifiuti",alto,15,3151,2024
Veneto,37,Gestione delle reti fognarie,DIVISIONE,E,"Acqua, reti fognarie, rifiuti",alto,97,1199,2024
Veneto,38,"Attività di raccolta, trattamento e smaltimento dei rifiuti recupero dei materiali",DIVISIONE,E,"Acqua, reti fognarie, rifiuti",alto,378,12789,2024
Veneto,39,Attività di risanamento e altri servizi di gestione dei rifiuti,DIVISIONE,E,"Acqua, reti fognarie, rifiuti",alto,55,675,2024
Veneto,41,Costruzione di edifici,DIVISIONE,F,Costruzioni,alto,4983,28163,2024
Veneto,42,Ingegneria civile,DIVISIONE,F,Costruzioni,alto,428,8469,2024
Veneto,43,Lavori di costruzione specializzati,DIVISIONE,F,Costruzioni,alto,11349,69656,2024
Veneto,45,Commercio all'ingrosso e al dettaglio e riparazione di autoveicoli e motocicli,DIVISIONE,G,Commercio e riparazione autoveicoli,basso,4343,32527,2024
Veneto,46,Commercio all'ingrosso (escluso quello di autoveicoli e di motocicli),DIVISIONE,G,Commercio e riparazione autoveicoli,basso,9040,89069,2024
Veneto,47,Commercio al dettaglio (escluso quello di autoveicoli e di motocicli),DIVISIONE,G,Commercio e riparazione autoveicoli,basso,14491,178946,2024
Veneto,49,Trasporto terrestre e trasporto mediante condotte,DIVISIONE,H,Trasporto e magazzinaggio,medio,3607,42346,2024
Veneto,50,Trasporto marittimo e per vie d'acqua,DIVISIONE,H,Trasporto e magazzinaggio,medio,388,5109,2024
Veneto,51,Trasporto aereo,DIVISIONE,H,Trasporto e magazzinaggio,medio,4,1407,2024
Veneto,52,Magazzinaggio e attività di supporto ai trasporti,DIVISIONE,H,Trasporto e magazzinaggio,medio,966,23259,2024
Veneto,53,Servizi postali e attività di corriere,DIVISIONE,H,Trasporto e magazzinaggio,medio,47,721,2024
Veneto,55,Alloggio,DIVISIONE,I,Alloggio e ristorazione,basso,3053,31990,2024
Veneto,56,Attività dei servizi di ristorazione,DIVISIONE,I,Alloggio e ristorazione,basso,17785,125868,2024
Veneto,58,Attività editoriali,DIVISIONE,J,Informazione e comunicazione,basso,152,1562,2024
Veneto,59,"Attività di produzione cinematografica, di video e di programmi televisivi, di registrazioni musicali e sonore",DIVISIONE,J,Informazione e comunicazione,basso,105,705,2024
Veneto,60,Attività di programmazione e trasmissione,DIVISIONE,J,Informazione e comunicazione,basso,45,546,2024
Veneto,61,Telecomunicazioni,DIVISIONE,J,Informazione e comunicazione,basso,86,591,2024
Veneto,62,"Produzione di software, consulenza informatica e attività connesse",DIVISIONE,J,Informazione e comunicazione,basso,1384,17932,2024
Veneto,63,Attività dei servizi d'informazione e altri servizi informatici,DIVISIONE,J,Informazione e comunicazione,basso,1713,10370,2024
Veneto,64,Attività di servizi finanziari (escluse le assicurazioni e i fondi pensione),DIVISIONE,K,Attività finanziarie e assicurative,basso,235,7875,2024
Veneto,65,"Assicurazioni, riassicurazioni e fondi pensione (escluse le assicurazioni sociali obbligatorie)",DIVISIONE,K,Attività finanziarie e assicurative,basso,13,10086,2024
Veneto,66,Attività ausiliarie dei servizi finanziari e delle attività assicurative,DIVISIONE,K,Attività finanziarie e assicurative,basso,1741,8004,2024
Veneto,68,Attività immobiliari,DIVISIONE,L,Attività immobiliari,basso,2911,9027,2024
Veneto,69,Attività legali e contabilità,DIVISIONE,M,"Attività professionali, scientifiche e tecniche",basso,5371,26430,2024
Veneto,70,Attività di direzione aziendale e di consulenza gestionale,DIVISIONE,M,"Attività professionali, scientifiche e tecniche",basso,1311,10792,2024
Veneto,71,"Attività degli studi di architettura e d'ingegneria, collaudi ed analisi tecniche",DIVISIONE,M,"Attività professionali, scientifiche e tecniche",basso,1647,12776,2024
Veneto,72,Ricerca scientifica e sviluppo,DIVISIONE,M,"Attività professionali, scientifiche e tecniche",basso,167,2062,2024
Veneto,73,Pubblicità e ricerche di mercato,DIVISIONE,M,"Attività professionali, scientifiche e tecniche",basso,451,3187,2024
Veneto,74,"Altre attività professionali, scientifiche e tecniche",DIVISIONE,M,"Attività professionali, scientifiche e tecniche",basso,1469,7094,2024
Veneto,75,Servizi veterinari,DIVISIONE,M,"Attività professionali, scientifiche e tecniche",basso,121,426,2024
Veneto,77,Attività di noleggio e leasing operativo,DIVISIONE,N,Noleggio e servizi alle imprese,basso,529,3826,2024
Veneto,78,"Attività di ricerca, selezione, fornitura di personale",DIVISIONE,N,Noleggio e servizi alle imprese,basso,51,36251,2024
Veneto,79,"Attività dei servizi delle agenzie di viaggio, dei tour operator e servizi di prenotazione e attività connesse",DIVISIONE,N,Noleggio e servizi alle imprese,basso,503,3182,2024
Veneto,80,Servizi di vigilanza e investigazione,DIVISIONE,N,Noleggio e servizi alle imprese,basso,87,7592,2024
Veneto,81,Attività di servizi per edifici e paesaggio,DIVISIONE,N,Noleggio e servizi alle imprese,basso,2091,37336,2024
Veneto,82,Attività di supporto per le funzioni d'ufficio e altri servizi di supporto alle imprese,DIVISIONE,N,Noleggio e servizi alle imprese,basso,1594,16270,2024
Veneto,85,Istruzione,DIVISIONE,P,Istruzione,medio,839,6688,2024
Veneto,86,Assistenza sanitaria,DIVISIONE,Q,Sanità e assistenza sociale,alto,4467,24086,2024
Veneto,87,Servizi di assistenza sociale residenziale,DIVISIONE,Q,Sanità e assistenza sociale,alto,151,12907,2024
Veneto,88,Assistenza sociale non residenziale,DIVISIONE,Q,Sanità e assistenza sociale,alto,459,19893,2024
Veneto,90,"Attività creative, artistiche e di intrattenimento",DIVISIONE,R,Attività artistiche e sportive,basso,205,2662,2024
Veneto,91,"Attività di biblioteche, archivi, musei ed altre attività culturali",DIVISIONE,R,Attività artistiche e sportive,basso,43,2467,2024
Veneto,92,"Attività riguardanti le lotterie, le scommesse, le case da gioco",DIVISIONE,R,Attività artistiche e sportive,basso,284,2493,2024
Veneto,93,"Attività sportive, di intrattenimento e di divertimento",DIVISIONE,R,Attività artistiche e sportive,basso,957,7785,2024
Veneto,95,Riparazione di computer e di beni per uso personale e per la casa,DIVISIONE,S,Altre attività di servizi,basso,437,2078,2024
Veneto,96,Altre attività di servizi per la persona,DIVISIONE,S,Altre attività di servizi,basso,7170,26123,2024
Trentino-Alto Adige,TOTALE,Totale economia (imprese con dipendenti),TOTALE,,,,34343,395578,2024
Trentino-Alto Adige,08,Altre attività di estrazione di minerali da cave e miniere,DIVISIONE,B,Estrazione di minerali,alto,73,657,2024
Trentino-Alto Adige,10,Industrie alimentari,DIVISIONE,C,Attività manifatturiere,alto,490,12435,2024
Trentino-Alto Adige,11,Industria delle bevande,DIVISIONE,C,Attività manifatturiere,alto,100,2276,2024
Trentino-Alto Adige,13,Industrie tessili,DIVISIONE,C,Attività manifatturiere,alto,45,790,2024
Trentino-Alto Adige,14,"Confezione di articoli di abbigliamento, confezione di articoli in pelle e pelliccia",DIVISIONE,C,Attività manifatturiere,alto,53,828,2024
Trentino-Alto Adige,15,Fabbricazione di articoli in pelle e simili,DIVISIONE,C,Attività manifatturiere,alto,16,721,2024
Trentino-Alto Adige,16,"Industria del legno e dei prodotti in legno e sughero (esclusi i mobili), fabbricazione di articoli in paglia e materiali da intreccio",DIVISIONE,C,Attività manifatturiere,alto,566,6665,2024
Trentino-Alto Adige,17,Fabbricazione di carta e di prodotti di carta,DIVISIONE,C,Attività manifatturiere,alto,25,1406,2024
Trentino-Alto Adige,18,Stampa e riproduzione di supporti registrati,DIVISIONE,C,Attività manifatturiere,alto,122,1503,2024
Trentino-Alto Adige,19,Fabbricazione di coke e prodotti derivanti dalla raffinazione del petrolio,DIVISIONE,C,Attività manifatturiere,alto,3,89,2024
Trentino-Alto Adige,20,Fabbricazione di prodotti chimici,DIVISIONE,C,Attività manifatturiere,alto,41,1628,2024
Trentino-Alto Adige,21,Fabbricazione di prodotti farmaceutici di base e di preparati farmaceutici,DIVISIONE,C,Attività manifatturiere,alto,3,459,2024
Trentino-Alto Adige,22,Fabbricazione di articoli in gomma e materie plastiche,DIVISIONE,C,Attività manifatturiere,alto,71,3490,2024
